source_log,phase,fold,epoch,total_epochs,steps,epoch_seconds,ms_per_step,auc,hard_accuracy,loss,precision,recall,val_auc,val_hard_accuracy,val_loss,val_precision,val_recall,learning_rate
phase1-fold1-2.txt,phase1_cv,1,32,100,969,244,252,0.9674,0.9847,0.009,0.9942,0.8848,0.9915,0.9602,0.0192,0.9794,0.9405,0.00094556
phase1-fold1-2.txt,phase1_cv,1,33,100,969,244,252,0.9673,0.9854,0.0088,0.9947,0.8857,0.9853,0.9563,0.0239,0.962,0.9505,0.00092639
phase1-fold1-2.txt,phase1_cv,1,34,100,969,245,253,0.9668,0.9857,0.0087,0.9949,0.8866,0.9859,0.9464,0.023,0.967,0.9247,0.0009046
phase1-fold1-2.txt,phase1_cv,1,35,100,969,246,254,0.9672,0.9857,0.0086,0.995,0.8845,0.9856,0.9468,0.0219,0.9641,0.9286,0.00088032
phase1-fold1-2.txt,phase1_cv,1,36,100,969,249,257,0.9676,0.9862,0.0085,0.9952,0.8876,0.9914,0.9569,0.0193,0.9807,0.9324,0.0008537
phase1-fold1-2.txt,phase1_cv,1,37,100,969,247,255,0.9679,0.987,0.0082,0.9958,0.8879,0.9927,0.9628,0.0151,0.973,0.9525,0.0008249
phase1-fold1-2.txt,phase1_cv,1,38,100,969,248,256,0.9684,0.9876,0.0079,0.9959,0.8888,0.9904,0.9616,0.0169,0.9698,0.9531,0.0007941
phase1-fold1-2.txt,phase1_cv,1,39,100,969,245,253,0.9677,0.9877,0.0079,0.9962,0.8868,0.9901,0.9547,0.0202,0.9698,0.939,0.00076149
phase1-fold1-2.txt,phase1_cv,1,40,100,969,246,253,0.9677,0.9876,0.0079,0.996,0.8879,0.9888,0.9489,0.0213,0.9672,0.9299,0.00072727
phase1-fold1-2.txt,phase1_cv,1,41,100,969,246,253,0.9683,0.9885,0.0076,0.9963,0.8893,0.9869,0.949,0.0207,0.9655,0.9318,0.00069165
phase1-fold1-2.txt,phase1_cv,1,42,100,969,245,252,0.9678,0.9884,0.0075,0.9964,0.8885,0.9869,0.9343,0.0255,0.9751,0.8919,0.00065485
phase1-fold1-2.txt,phase1_cv,1,43,100,969,243,251,0.9682,0.9888,0.0073,0.9967,0.8886,0.9873,0.9497,0.0221,0.9697,0.9288,0.00061711
phase1-fold1-2.txt,phase1_cv,1,44,100,969,247,254,0.9682,0.9886,0.0074,0.9965,0.8887,0.9831,0.9429,0.0249,0.9482,0.9375,0.00057864
phase1-fold1-2.txt,phase1_cv,1,45,100,969,246,254,0.9681,0.9893,0.0073,0.997,0.8881,0.9895,0.9545,0.02,0.9709,0.9375,0.00053969
phase1-fold1-2.txt,phase1_cv,1,46,100,969,245,252,0.9685,0.9902,0.0069,0.997,0.8904,0.9856,0.9384,0.0239,0.962,0.9134,0.0005005
phase1-fold1-2.txt,phase1_cv,1,47,100,969,244,251,0.9686,0.9896,0.0069,0.9971,0.8892,0.9865,0.9461,0.0227,0.9651,0.9262,0.00046131
phase1-fold1-2.txt,phase1_cv,1,48,100,969,244,252,0.9689,0.9905,0.0067,0.9974,0.8903,0.987,0.9385,0.0244,0.9635,0.9122,0.00042236
phase1-fold1-2.txt,phase1_cv,1,49,100,969,247,254,0.9684,0.9904,0.0067,0.9974,0.8898,0.9874,0.9464,0.0227,0.9664,0.9254,0.00038389
phase1-fold1-2.txt,phase1_cv,1,50,100,969,246,254,0.9688,0.9904,0.0067,0.9973,0.8888,0.9924,0.9564,0.0187,0.9837,0.9286,0.00034615
